name,MIS1,MIS2,MIS3,MIS4,MIS5,MIS6,ISMF,ISMU,NIS1,NIS2
glnA,3.278073499,3.732424833,4.617942014,3.58506758,3.732671198,3.78067031,3.589796234,1.965145128,2.317314267,2.838476155
tctC,3.743385977,3.969149259,3.290554874,3.735871179,3.63793586,3.583316246,3.66150508,1.57517859,1.6168492,2.051815918
csrA,2.936226252,3.786430935,2.629784998,2.325386705,2.211849681,-3,2.997901554,-3,3.134007538,2.815607937
motA,2.957083141,1.544981721,3.42879882,2.686433566,2.509208519,3.135912987,2.789798126,2.595118185,1.953611117,2.438726672
ACAT,1.759610926,3.513348595,2.922989166,2.31347021,2.998710293,2.486650126,2.807509164,1.188050311,2.040278032,2.115862747
citE,2.008238127,2.627853996,3.513731969,2.72271797,2.636406985,1.919034592,2.492536069,-3,0.529598761,0.95334122
dctM,3.159503664,1.026008987,1.545604734,2.706087326,3.05020031,2.947802233,2.441316977,1.138875293,2.070029416,1.912073376
degP,1.08061961,2.602508655,1.371719124,3.08331213,3.008630983,3.036006527,3.052013548,1.594805833,2.508820593,2.266064612
fecR,1.884547506,2.851373282,1.570817692,1.652363602,3.387050337,2.559295494,1.767546486,1.234791241,1.788708308,2.198073746
tctA,1.356838752,2.601370824,2.009998754,3.107597974,2.660870702,2.880302567,2.816799476,0.95334147,0.489900222,0.938142981
